"m0_true","K_true","theta_true","area","sim_1","sim_2","sim_3","sim_4","sim_5","sim_6","sim_7","sim_8","sim_9","sim_10","sim_11","sim_12","sim_13","sim_14","sim_15","sim_16","sim_17","sim_18","sim_19","sim_20","sim_21","sim_22","sim_23","sim_24","sim_25","sim_26","sim_27","sim_28","sim_29","sim_30","sim_31","sim_32","sim_33","sim_34","sim_35","sim_36","sim_37","sim_38","sim_39","sim_40","sim_41","sim_42","sim_43","sim_44","sim_45","sim_46","sim_47","sim_48","sim_49","sim_50","sim_51","sim_52","sim_53","sim_54","sim_55","sim_56","sim_57","sim_58","sim_59","sim_60","sim_61","sim_62","sim_63","sim_64","sim_65","sim_66","sim_67","sim_68","sim_69","sim_70","sim_71","sim_72","sim_73","sim_74","sim_75","sim_76","sim_77","sim_78","sim_79","sim_80","sim_81","sim_82","sim_83","sim_84","sim_85","sim_86","sim_87","sim_88","sim_89","sim_90","sim_91","sim_92","sim_93","sim_94","sim_95","sim_96","sim_97","sim_98","sim_99","sim_100","species","st_error"
0.09,5,0.49999499995,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0
0.09,5,0.49999499995,20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5,5,5.07070707070707,0.0258937351297639
0.09,5,0.49999499995,45,5,5,5,5,5,6,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,6,5,6,5,5,5,5,5,6,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,6,5,6,6,6,5,5,5,6,5,5,6,5,5,5,5,5,5,6,5,6,5,5,6,5,5,5,5,5,5,5.17171717171717,0.0380963312624649
0.09,5,0.49999499995,80,5,5,5,5,6,5,5,5,6,5,6,5,5,5,5,5,5,6,6,5,6,5,5,6,5,6,5,5,5,5,5,5,5,5,5,5,6,5,6,6,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,7,5,5,6,5,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.19191919191919,0.0490620490620491
0.09,5,0.49999499995,125,5,5,5,5,5,5,6,5,6,5,5,7,5,7,6,6,5,5,6,5,6,6,6,6,5,5,5,5,6,6,6,5,5,5,5,5,7,5,5,6,5,6,6,5,5,5,5,5,5,5,6,5,5,5,5,5,5,6,5,5,7,5,7,5,5,5,6,6,5,5,6,5,5,5,5,5,5,7,6,6,5,5,6,5,5,5,5,7,5,7,6,5,5,5,5,5,6,6,5,6,5.43434343434343,0.0644684210784666
0.09,5,0.49999499995,180,5,7,5,5,6,5,7,7,6,5,5,5,5,5,5,6,7,5,5,5,6,6,6,6,5,6,5,5,5,6,5,5,5,5,5,5,7,6,6,6,5,6,6,5,6,5,6,5,5,5,5,5,5,6,5,5,5,5,5,5,7,5,8,7,5,7,5,5,6,5,6,6,6,6,5,5,5,6,6,6,5,5,7,6,5,5,5,7,5,5,5,5,6,6,5,5,5,5,5,7,5.53535353535354,0.0736496401453094
0.09,5,0.49999499995,245,5,5,5,5,6,6,5,7,6,5,5,5,5,5,5,5,7,7,5,5,6,7,5,5,5,6,6,5,5,6,5,5,5,5,6,5,5,5,5,5,5,5,8,5,5,5,5,5,5,5,5,6,5,5,5,5,5,6,5,5,6,5,7,5,5,6,6,6,6,6,6,7,5,5,5,5,6,5,6,5,5,5,5,5,5,5,5,5,5,6,7,5,6,5,5,5,6,5,5,6,5.4040404040404,0.0672197096614841
0.09,5,0.49999499995,320,5,7,5,6,7,6,6,5,6,5,5,6,5,5,5,6,6,6,6,6,7,6,5,5,5,5,5,5,7,5,5,6,6,5,6,5,8,6,5,6,5,5,6,5,6,6,6,5,5,5,5,5,6,6,5,6,5,6,5,5,5,5,7,7,5,5,6,8,6,6,7,7,6,7,6,5,6,7,6,6,5,5,5,6,5,5,5,5,6,7,6,5,6,6,5,5,5,5,6,7,5.68686868686869,0.0768457544340222
0.09,5,0.49999499995,405,5,5,5,6,6,6,5,6,6,5,6,6,5,6,5,6,6,7,6,5,7,5,6,6,6,6,5,6,7,7,6,6,5,5,6,5,7,5,6,6,5,7,7,5,6,6,6,5,5,5,6,5,5,6,5,5,5,7,5,5,6,6,7,6,5,5,6,6,5,6,5,5,5,6,5,6,6,6,6,5,5,6,5,5,5,5,5,5,6,7,6,5,5,6,5,5,6,7,6,6,5.66666666666667,0.0673435029701474
0.09,5,0.49999499995,500,5,6,5,5,6,7,6,7,8,5,5,6,5,5,5,6,6,6,6,5,5,6,7,6,5,8,6,5,6,6,5,7,6,5,6,5,8,5,6,6,5,5,6,6,7,5,7,5,5,5,6,5,6,6,5,5,5,6,5,5,5,6,5,7,5,6,6,5,5,6,7,5,7,7,6,5,5,5,6,5,5,6,6,6,5,5,5,6,6,7,6,5,5,6,5,5,5,6,5,7,5.70707070707071,0.080265131227552
