"","m0_true","K_true","theta_true","depth","area","sim_1","sim_2","sim_3","sim_4","sim_5","sim_6","sim_7","sim_8","sim_9","sim_10","sim_11","sim_12","sim_13","sim_14","sim_15","sim_16","sim_17","sim_18","sim_19","sim_20","sim_21","sim_22","sim_23","sim_24","sim_25","sim_26","sim_27","sim_28","sim_29","sim_30","sim_31","sim_32","sim_33","sim_34","sim_35","sim_36","sim_37","sim_38","sim_39","sim_40","sim_41","sim_42","sim_43","sim_44","sim_45","sim_46","sim_47","sim_48","sim_49","sim_50","sim_51","sim_52","sim_53","sim_54","sim_55","sim_56","sim_57","sim_58","sim_59","sim_60","sim_61","sim_62","sim_63","sim_64","sim_65","sim_66","sim_67","sim_68","sim_69","sim_70","sim_71","sim_72","sim_73","sim_74","sim_75","sim_76","sim_77","sim_78","sim_79","sim_80","sim_81","sim_82","sim_83","sim_84","sim_85","sim_86","sim_87","sim_88","sim_89","sim_90","sim_91","sim_92","sim_93","sim_94","sim_95","sim_96","sim_97","sim_98","sim_99","sim_100","species","st_error","analytics"
"1",0.01,5,0.49999499995,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5
"2",0.01,5,0.49999499995,1,20,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5.03,0.0171446607997765,5.05
"3",0.01,5,0.49999499995,1,45,5,5,5,5,6,5,5,6,5,5,5,5,5,5,5,5,5,5,6,5,5,5,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5,5,5,5,6,5,5,5,5,6,5,5,5,5,6,5,5,5.13,0.0337997668989631,5.15
"4",0.01,5,0.49999499995,1,80,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5,5,6,5,6,5,5,5,5,5,5,6,5,5,5,5,5,5,6,5,6,5,6,6,6,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,6,5.17,0.0377525168068637,5.27
"5",0.01,5,0.49999499995,1,125,5,5,5,5,7,5,5,6,6,5,5,6,5,5,5,5,5,6,5,5,5,5,6,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,6,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,7,5,5,6,5,5,5,5,5,5,5,6,5,6,5,7,5,5,5,5,5,5,5,5,5,6,7,8,7,5,5,7,5,5,5,6,5,6,5.31,0.063077633744362,5.41
"6",0.01,5,0.49999499995,1,180,5,5,5,6,6,6,6,7,5,5,6,6,5,5,6,5,5,8,5,5,6,7,6,6,5,5,5,5,7,5,6,6,6,5,6,5,5,5,5,5,5,5,6,5,7,5,6,5,5,6,5,6,6,6,5,6,5,5,5,5,6,6,8,6,5,6,5,7,5,5,6,5,6,7,5,5,5,7,6,6,5,5,5,6,5,5,5,6,7,6,6,5,5,7,7,5,5,6,5,6,5.61,0.0750689918365335,5.55
"7",0.01,5,0.49999499995,1,245,5,5,5,6,5,5,6,6,6,5,6,7,5,5,5,5,6,5,6,5,6,6,6,6,5,6,6,6,6,6,6,5,6,5,6,5,5,5,6,5,5,7,7,5,6,5,7,5,5,5,5,5,6,6,5,6,5,7,6,5,6,5,8,7,5,7,5,7,5,5,7,6,7,6,5,6,5,7,5,8,5,6,5,5,5,6,5,5,6,6,7,5,6,5,5,6,6,7,5,6,5.69,0.0774531464757236,5.68
"8",0.01,5,0.49999499995,1,320,5,7,5,6,7,5,6,7,8,5,6,6,5,6,6,6,6,6,5,6,7,5,6,6,5,6,7,5,7,6,6,6,5,6,6,5,6,5,7,6,5,7,6,5,6,6,7,5,5,5,5,6,5,5,5,5,5,7,6,5,7,6,7,6,5,6,6,7,5,5,8,7,7,6,5,5,5,6,6,6,5,5,6,5,5,6,5,6,7,6,7,5,5,6,6,5,7,7,5,6,5.84,0.0800504891183109,5.79
"9",0.01,5,0.49999499995,1,405,5,7,5,6,6,6,6,7,6,5,5,6,5,6,5,6,7,6,6,5,7,7,5,6,6,6,6,6,7,6,6,6,7,5,6,5,7,5,7,6,5,6,6,6,8,6,6,5,6,5,6,6,5,5,5,6,5,8,6,5,7,5,7,7,6,6,5,6,5,6,9,8,6,6,6,5,6,5,5,7,5,5,7,6,6,6,5,7,6,6,6,5,6,6,6,6,6,6,5,6,5.94,0.0814266727203257,5.9
"10",0.01,5,0.49999499995,1,500,5,6,5,6,6,6,7,7,7,5,6,7,6,6,6,6,6,7,6,6,6,7,6,6,6,7,7,6,7,6,5,7,6,6,6,5,6,5,7,6,5,7,6,6,7,6,7,6,5,6,6,6,5,5,5,6,5,8,6,5,6,6,10,7,5,7,5,8,5,7,8,6,8,6,6,5,5,8,6,6,5,6,7,6,5,5,5,7,7,8,7,5,6,5,6,6,6,7,5,7,6.14,0.0932250454057765,6
