"","ID","t","LogN","Model"
"1",169,0,7.25722394801311,"Gompertz"
"2",169,0.5,7.36181704630657,"Gompertz"
"3",169,1,7.46636476400692,"Gompertz"
"4",169,1.5,7.57083023176075,"Gompertz"
"5",169,2,7.67517736413807,"Gompertz"
"6",169,2.5,7.77937088118772,"Gompertz"
"7",169,3,7.88337632777041,"Gompertz"
"8",169,3.5,7.98716009072949,"Gompertz"
"9",169,4,8.09068941396277,"Gompertz"
"10",169,4.5,8.19393241146106,"Gompertz"
"11",169,5,8.29685807838104,"Gompertz"
"12",169,NA,NA,"Baranyi"
"13",169,NA,NA,"Buchanan"
"14",169,0,4.92630402828565,"Quadratic"
"21",169,0.5,5.75314481335673,"Quadratic"
"31",169,1,6.49771635694671,"Quadratic"
"41",169,1.5,7.16001865905559,"Quadratic"
"51",169,2,7.74005171968336,"Quadratic"
"61",169,2.5,8.23781553883003,"Quadratic"
"71",169,3,8.65331011649559,"Quadratic"
"81",169,3.5,8.98653545268005,"Quadratic"
"91",169,4,9.23749154738341,"Quadratic"
"101",169,4.5,9.40617840060566,"Quadratic"
"111",169,5,9.49259601234681,"Quadratic"
"15",169,0,4.89154128948149,"Polynomial"
"22",169,0.5,5.77714944031447,"Polynomial"
"32",169,1,6.54607117821392,"Polynomial"
"42",169,1.5,7.20687719639305,"Polynomial"
"52",169,2,7.76813818806506,"Polynomial"
"62",169,2.5,8.23842484644315,"Polynomial"
"72",169,3,8.62630786474052,"Polynomial"
"82",169,3.5,8.94035793617036,"Polynomial"
"92",169,4,9.18914575394587,"Polynomial"
"102",169,4.5,9.38124201128026,"Polynomial"
"112",169,5,9.52521740138672,"Polynomial"
"16",169,0,5.48000563392002,"Linear"
"23",169,0.5,5.9356144013152,"Linear"
"33",169,1,6.39122316871038,"Linear"
"43",169,1.5,6.84683193610556,"Linear"
"53",169,2,7.30244070350074,"Linear"
"63",169,2.5,7.75804947089592,"Linear"
"73",169,3,8.21365823829109,"Linear"
"83",169,3.5,8.66926700568627,"Linear"
"93",169,4,9.12487577308145,"Linear"
"103",169,4.5,9.58048454047663,"Linear"
"113",169,5,10.0360933078718,"Linear"
