"","ID","t","LogN","Model"
"1",171,0,3.83792096965834,"Gompertz"
"2",171,0.5,3.85734172945164,"Gompertz"
"3",171,1,3.91125879586939,"Gompertz"
"4",171,1.5,4.02235964709544,"Gompertz"
"5",171,2,4.20418799398096,"Gompertz"
"6",171,2.5,4.45334986084501,"Gompertz"
"7",171,3,4.75118005446914,"Gompertz"
"8",171,3.5,5.07172184482278,"Gompertz"
"9",171,4,5.39002717221974,"Gompertz"
"10",171,4.5,5.68720416869098,"Gompertz"
"11",171,5,5.95185542778363,"Gompertz"
"12",171,0,3.83992264045265,"Baranyi"
"13",171,0.5,3.86400161969769,"Baranyi"
"14",171,1,3.91613934063762,"Baranyi"
"15",171,1.5,4.01901455409415,"Baranyi"
"16",171,2,4.19430371878956,"Baranyi"
"17",171,2.5,4.44444440877143,"Baranyi"
"18",171,3,4.74858598374341,"Baranyi"
"19",171,3.5,5.07785733648873,"Baranyi"
"20",171,4,5.40524144076746,"Baranyi"
"21",171,4.5,5.70341203966934,"Baranyi"
"22",171,5,5.94369262593295,"Baranyi"
"23",171,NA,NA,"Buchanan"
"110",171,0,3.78215495720973,"Quadratic"
"24",171,0.5,3.8563107240647,"Quadratic"
"31",171,1,3.96335215204936,"Quadratic"
"41",171,1.5,4.10327924116371,"Quadratic"
"51",171,2,4.27609199140774,"Quadratic"
"61",171,2.5,4.48179040278145,"Quadratic"
"71",171,3,4.72037447528485,"Quadratic"
"81",171,3.5,4.99184420891793,"Quadratic"
"91",171,4,5.2961996036807,"Quadratic"
"101",171,4.5,5.63344065957316,"Quadratic"
"111",171,5,6.0035673765953,"Quadratic"
"112",171,0,3.83421298113664,"Polynomial"
"25",171,0.5,3.82008887051242,"Polynomial"
"32",171,1,3.89058755036349,"Polynomial"
"42",171,1.5,4.0328311466707,"Polynomial"
"52",171,2,4.23394178541491,"Polynomial"
"62",171,2.5,4.48104159257698,"Polynomial"
"72",171,3,4.76125269413775,"Polynomial"
"82",171,3.5,5.06169721607808,"Polynomial"
"92",171,4,5.36949728437883,"Polynomial"
"102",171,4.5,5.67177502502084,"Polynomial"
"113",171,5,5.95565256398499,"Polynomial"
"114",171,0,3.56067281960007,"Linear"
"26",171,0.5,3.783393643235,"Linear"
"33",171,1,4.00611446686993,"Linear"
"43",171,1.5,4.22883529050485,"Linear"
"53",171,2,4.45155611413978,"Linear"
"63",171,2.5,4.6742769377747,"Linear"
"73",171,3,4.89699776140963,"Linear"
"83",171,3.5,5.11971858504456,"Linear"
"93",171,4,5.34243940867948,"Linear"
"103",171,4.5,5.56516023231441,"Linear"
"115",171,5,5.78788105594934,"Linear"
